neighbourhood_name,latitude,longitude,room_type,bathrooms,bedrooms,price,last_review_date,review_scores_rating,country,city,insert_date,PUBLICADO_POR
Blanes,41.66253,2.78219,Casa o Departamento,2.0,3.0,70.0,28-07-2018,100.0,España,Girona,29-06-2020,Flipkey
La salut,41.4106,2.15103,Habitación privada,1.0,1.0,80.0,12-08-2018,60.0,España,Barcelona,10-04-2019,Kayak
Llucmajor,39.36477235249814,2.865064146243512,Casa o Departamento,3.0,4.0,199.0,,nan,España,Mallorca,17-10-2018,Flipkey
La sagrada família,41.4039812966925,2.1715972200262685,Habitación privada,1.0,1.0,40.0,30-08-2018,95.0,España,Barcelona,10-10-2018,Tripadvisor
Calonge,41.84822,3.0918,Casa o Departamento,1.0,2.0,76.0,21-08-2019,94.0,España,Girona,28-11-2020,Kayak
Palma de mallorca,39.575718551197625,2.636891109773916,Casa o Departamento,1.0,1.0,70.0,12-11-2018,94.0,España,Mallorca,20-11-2018,Expedia
La sagrada família,41.40170683821756,2.178311252540387,Casa o Departamento,1.0,2.0,70.0,13-10-2018,89.0,España,Barcelona,07-11-2018,Booking
Begur,41.9534299329267,3.21796557756583,Casa o Departamento,2.0,4.0,164.0,06-07-2016,70.0,España,Girona,20-10-2018,Agoda
Santa pau,42.15256,2.51838,Habitación privada,1.0,1.0,90.0,,nan,España,Girona,29-06-2020,Booking
El camp de l'arpa del clot,41.4131,2.18229,Casa o Departamento,1.0,3.0,55.0,30-07-2019,nan,España,Barcelona,16-12-2020,Kayak
Sants - badal,41.37437145175485,2.130142573096805,Casa o Departamento,1.0,3.0,99.0,05-12-2017,100.0,España,Barcelona,09-12-2017,Booking
Universidad,40.42279,-3.70543,Habitación privada,1.0,1.0,45.0,01-01-2020,100.0,España,Madrid,13-06-2020,Kayak
"Sant pere, santa caterina i la ribera",41.38271812609226,2.1808918750611186,Casa o Departamento,1.0,2.0,145.0,23-07-2017,100.0,España,Barcelona,06-08-2017,Flipkey
Centro,36.73111,-4.41599,Habitación privada,1.0,1.0,20.0,21-04-2019,95.0,España,Malaga,01-09-2019,Expedia
Sant antoni,41.37713547298386,2.161511683111051,Casa o Departamento,1.0,3.0,83.0,04-11-2018,91.0,España,Barcelona,07-11-2018,Kayak
Universidad,40.42059,-3.70282,Casa o Departamento,2.0,1.0,60.0,22-12-2019,90.0,España,Madrid,10-01-2020,Booking
Centro,36.71928393963509,-4.422901012234061,Habitación privada,2.0,1.0,100.0,,nan,España,Malaga,22-04-2018,Agoda
Roses,42.25875,3.18316,Casa o Departamento,1.0,0.0,30.0,31-08-2019,78.0,España,Girona,31-12-2019,Tripadvisor
Sant francesc,39.46965,-0.37186,Casa o Departamento,1.0,1.0,55.0,19-01-2020,95.0,España,Valencia,31-01-2020,Airbnb
Calonge,41.85519,3.04875,Casa o Departamento,3.0,4.0,327.0,13-05-2018,100.0,España,Girona,31-01-2020,Kayak
Artà,39.68973,3.35344,Casa o Departamento,4.0,3.0,428.0,,nan,España,Mallorca,19-09-2020,Tripadvisor
Zofío,40.38466,-3.71475,Casa o Departamento,1.0,3.0,99.0,,nan,España,Madrid,14-05-2020,Agoda
El pilar,39.4752,-0.38215,Casa o Departamento,1.0,1.0,60.0,09-03-2020,98.0,España,Valencia,26-03-2020,Airbnb
Centro,36.72279,-4.4214,Casa o Departamento,2.0,3.0,178.0,,nan,España,Malaga,31-01-2021,Kayak
Imperial,40.41055188460411,-3.719656094328847,Casa o Departamento,1.0,1.0,80.0,01-01-2019,98.0,España,Madrid,14-01-2019,Flipkey
Es mercadal,40.05716,4.13081,Casa o Departamento,2.0,4.0,250.0,01-06-2019,90.0,España,Menorca,30-11-2019,Airbnb
El fort pienc,41.394803474079794,2.17874335599168,Casa o Departamento,2.0,4.0,258.0,04-07-2017,88.0,España,Barcelona,06-08-2017,Flipkey
L'escala,42.11823,3.13587,Casa o Departamento,1.0,1.0,110.0,07-09-2020,100.0,España,Girona,27-02-2021,Tripadvisor
Alaior,39.90280445478785,4.071880350701547,Casa o Departamento,1.0,2.0,60.0,01-07-2018,100.0,España,Menorca,31-07-2018,Tripadvisor
Mahón,39.84887282693909,4.16987951442454,Casa o Departamento,2.0,3.0,178.0,20-06-2018,80.0,España,Menorca,31-07-2018,Expedia
Alcúdia,39.84229,3.13464,Casa o Departamento,2.0,3.0,72.0,30-09-2019,92.0,España,Mallorca,28-05-2020,Expedia
Universidad,40.42423,-3.71036,Casa o Departamento,1.0,1.0,35.0,02-04-2017,93.0,España,Madrid,17-07-2020,Agoda
Artà,39.68889,3.33995,Casa o Departamento,3.0,4.0,213.0,,nan,España,Mallorca,27-06-2019,Booking
Palma de mallorca,39.575864008499536,2.6427593949177504,Habitación privada,1.0,1.0,35.0,01-06-2017,93.0,España,Mallorca,18-04-2018,Booking
Universidad,40.42356,-3.70893,Habitación privada,1.0,1.0,35.0,,nan,España,Madrid,14-05-2020,Agoda
Pollença,39.88185,3.01493,Casa o Departamento,2.0,4.0,285.0,,nan,España,Mallorca,25-03-2019,Expedia
Universidad,40.4285,-3.70976,Casa o Departamento,1.0,2.0,200.0,,nan,España,Madrid,10-07-2019,Tripadvisor
La bordeta,41.36931,2.14135,Habitación privada,3.0,1.0,40.0,02-01-2020,60.0,España,Barcelona,06-11-2020,Flipkey
Imperial,40.40325042577842,-3.714197217637506,Casa o Departamento,2.0,2.0,60.0,03-04-2017,97.0,España,Madrid,08-04-2017,Agoda
Sants,41.38121,2.13676,Casa o Departamento,1.0,1.0,90.0,07-12-2019,100.0,España,Barcelona,11-05-2020,Booking
L'escala,42.10782287945985,3.134780558868994,Casa o Departamento,3.0,3.0,59.0,,nan,España,Girona,28-09-2018,Airbnb
Centro,36.722872174180345,-4.419061874043631,Casa o Departamento,3.0,4.0,85.0,03-11-2018,92.0,España,Malaga,27-11-2018,Agoda
Castellana,40.43758,-3.68821,Casa o Departamento,1.0,0.0,75.0,,nan,España,Madrid,13-06-2020,Homeaway
La dreta de l'eixample,41.39771753951968,2.170137269335305,Habitación privada,2.0,1.0,23.0,28-07-2017,91.0,España,Barcelona,06-08-2017,Agoda
Ciudad universitaria,40.44728,-3.71065,Casa o Departamento,1.0,3.0,150.0,01-03-2020,100.0,España,Madrid,17-03-2020,Agoda
San pascual,40.44386671865178,-3.6522485489517407,Habitación privada,1.0,1.0,25.0,10-09-2018,100.0,España,Madrid,11-09-2018,Agoda
Llucmajor,39.36180808714872,2.9195656764728324,Casa o Departamento,2.0,2.0,60.0,03-05-2018,100.0,España,Mallorca,29-07-2018,Booking
San gil,37.40190029944994,-5.989770476389864,Casa o Departamento,1.0,1.0,50.0,14-10-2018,98.0,España,Sevilla,18-10-2018,Booking
Sant feliu de guíxols,41.7806,3.04029,Casa o Departamento,2.0,4.0,77.0,19-08-2019,100.0,España,Girona,30-11-2019,Flipkey
Feria,37.39818,-5.98786,Casa o Departamento,2.0,3.0,116.0,10-03-2020,94.0,España,Sevilla,31-12-2020,Kayak
Cabanyal-canyamelar,39.46881,-0.32999,Casa o Departamento,2.0,2.0,70.0,14-09-2019,85.0,España,Valencia,30-09-2019,Flipkey
Cortes,40.41501,-3.70182,Casa o Departamento,3.0,3.0,210.0,10-03-2020,98.0,España,Madrid,13-09-2020,Expedia
El besòs i el maresme,41.41565664504894,2.2133317185591967,Habitación privada,1.0,1.0,30.0,,nan,España,Barcelona,07-02-2018,Flipkey
Argüelles,40.42984,-3.71785,Casa o Departamento,2.0,1.0,75.0,,nan,España,Madrid,17-12-2020,Kayak
Castelló d'empúries,42.25291,3.11023,Casa o Departamento,2.0,2.0,175.0,,nan,España,Girona,27-02-2021,Airbnb
Torroella de montgrí,42.04803,3.17503,Casa o Departamento,1.0,3.0,100.0,14-07-2019,100.0,España,Girona,29-07-2019,Agoda
Cabanyal-canyamelar,39.46896,-0.33339,Habitación privada,1.0,1.0,20.0,27-07-2019,99.0,España,Valencia,31-07-2019,Expedia
L'antiga esquerra de l'eixample,41.388821238037686,2.156687337823276,Casa o Departamento,1.0,3.0,199.0,,nan,España,Barcelona,06-07-2017,Booking
Justicia,40.42007,-3.70111,Casa o Departamento,3.0,3.0,285.0,23-06-2019,100.0,España,Madrid,10-07-2019,Tripadvisor
Sarrià,41.40105075623054,2.1189248672763106,Casa o Departamento,1.0,1.0,66.0,22-08-2016,80.0,España,Barcelona,06-07-2017,Agoda
Selva,39.77552,2.92734,Casa o Departamento,2.0,2.0,138.0,18-08-2018,100.0,España,Mallorca,08-11-2020,Agoda
Ciutadella de menorca,40.00169264814792,3.809703729624524,Casa o Departamento,2.0,3.0,230.0,,nan,España,Menorca,30-12-2020,Tripadvisor
Palma de mallorca,39.50833,2.75674,Habitación privada,1.0,1.0,40.0,,nan,España,Mallorca,31-12-2019,Homeaway
El carmel,41.42,2.15798,Casa o Departamento,2.0,3.0,62.0,19-10-2020,87.0,España,Barcelona,06-11-2020,Homeaway
Llucmajor,39.36315,2.83583,Casa o Departamento,3.0,3.0,300.0,11-08-2019,83.0,España,Mallorca,31-08-2019,Agoda
Llubí,39.69739,3.00569,Casa o Departamento,3.0,4.0,88.0,26-04-2017,100.0,España,Mallorca,25-03-2019,Tripadvisor
Goya,40.42449665455048,-3.678901006898674,Casa o Departamento,2.0,2.0,258.0,,nan,España,Madrid,10-07-2018,Booking
Sencelles,39.62032545366023,2.911394305529914,Casa o Departamento,2.0,4.0,80.0,25-03-2018,95.0,España,Mallorca,18-04-2018,Booking
Cabanyal-canyamelar,39.47446,-0.32848,Casa o Departamento,1.0,1.0,73.0,,nan,España,Valencia,10-11-2020,Airbnb
La vila de gràcia,41.399718449863386,2.1589449735350503,Habitación privada,1.0,1.0,350.0,,nan,España,Barcelona,07-11-2018,Booking
Centro,36.72474983413484,-4.429460307791725,Casa o Departamento,1.0,2.0,50.0,25-11-2018,93.0,España,Malaga,27-11-2018,Flipkey
Triana este,37.3798,-5.99999,Habitación de hotel,1.0,1.0,61.0,06-12-2019,85.0,España,Sevilla,31-12-2020,Airbnb
Palma de mallorca,39.56889,2.77548,Casa o Departamento,2.0,3.0,132.0,17-08-2019,97.0,España,Mallorca,31-08-2019,Tripadvisor
Capmany,42.38402,2.9181,Casa o Departamento,2.0,4.0,290.0,18-04-2019,100.0,España,Girona,29-04-2019,Agoda
La dreta de l'eixample,41.386287582244734,2.16547661015072,Habitación compartida,4.0,1.0,140.0,,nan,España,Barcelona,13-11-2017,Homeaway
Roses,42.24863,3.19344,Casa o Departamento,1.0,1.0,45.0,19-01-2020,97.0,España,Girona,31-01-2020,Agoda
"Encarnación, regina",37.39446,-5.99445,Casa o Departamento,1.0,2.0,66.0,12-03-2020,91.0,España,Sevilla,30-11-2020,Kayak
Alfalfa,37.38863,-5.99422,Casa o Departamento,1.0,1.0,68.0,,nan,España,Sevilla,31-12-2020,Booking
La nova esquerra de l'eixample,41.37884,2.14943,Casa o Departamento,nan,0.0,80.0,16-10-2019,91.0,España,Barcelona,17-07-2020,Kayak
Pals,41.97024,3.14414,Casa o Departamento,3.0,4.0,249.0,,nan,España,Girona,30-06-2019,Kayak
San bartolomé,37.38809410061258,-5.989602421793614,Habitación privada,1.0,1.0,40.0,03-04-2018,88.0,España,Sevilla,27-08-2018,Tripadvisor
Calvià,39.50579,2.46418,Habitación privada,3.0,2.0,35.0,06-04-2020,100.0,España,Mallorca,16-01-2021,Expedia
Na rovella,39.45384,-0.3673,Casa o Departamento,1.0,1.0,50.0,25-08-2019,73.0,España,Valencia,30-09-2019,Kayak
Justicia,40.42411193052674,-3.698150431101408,Casa o Departamento,1.0,1.0,85.0,01-01-2018,40.0,España,Madrid,10-12-2018,Tripadvisor
La sagrada família,41.40864,2.17663,Habitación privada,1.0,1.0,59.0,02-01-2020,93.0,España,Barcelona,11-05-2020,Tripadvisor
Universidad,40.42918,-3.70898,Casa o Departamento,1.0,1.0,95.0,06-06-2019,98.0,España,Madrid,16-10-2019,Booking
Palafrugell,41.88914,3.18533,Casa o Departamento,1.0,1.0,112.0,,nan,España,Girona,29-05-2019,Kayak
El barri gòtic,41.38056,2.18109,Habitación privada,2.0,1.0,55.0,15-02-2020,95.0,España,Barcelona,16-02-2020,Flipkey
Alcúdia,39.84125,3.13611,Habitación privada,8.0,1.0,59.0,29-10-2015,80.0,España,Mallorca,17-02-2019,Airbnb
Palacio,40.40883559777379,-3.714237562800501,Casa o Departamento,1.0,1.0,64.0,02-01-2019,99.0,España,Madrid,14-01-2019,Expedia
Castell-platja d'aro,41.79101,3.05467,Casa o Departamento,2.0,4.0,100.0,23-08-2018,100.0,España,Girona,30-10-2019,Agoda
San isidro,40.39519,-3.73739,Habitación compartida,2.0,1.0,20.0,22-04-2019,80.0,España,Madrid,10-01-2020,Airbnb
El poble sec,41.37052446159246,2.158743207905254,Habitación privada,1.0,1.0,34.0,03-10-2018,93.0,España,Barcelona,10-10-2018,Kayak
Feria,37.39894,-5.98929,Casa o Departamento,2.0,2.0,120.0,26-11-2019,98.0,España,Sevilla,29-11-2019,Booking
L'antiga esquerra de l'eixample,41.3856,2.15576,Casa o Departamento,2.0,2.0,500.0,25-03-2019,81.0,España,Barcelona,10-04-2019,Flipkey
El poble sec,41.3718500147457,2.160696923041413,Habitación privada,1.0,1.0,22.0,,nan,España,Barcelona,06-08-2017,Airbnb
Santa cruz,37.38215,-5.99342,Casa o Departamento,2.0,2.0,300.0,,nan,España,Sevilla,28-03-2019,Tripadvisor
Manacor,39.57025,3.15537,Casa o Departamento,1.0,2.0,143.0,,nan,España,Mallorca,25-07-2019,Expedia
Arenal,37.38539,-5.99791,Casa o Departamento,2.0,2.0,122.0,24-02-2020,97.0,España,Sevilla,23-03-2020,Tripadvisor
Lloret de mar,41.69807,2.8331,Casa o Departamento,1.0,1.0,95.0,19-08-2018,94.0,España,Girona,31-12-2019,Booking
El poblenou,41.40532338965719,2.2040905681451908,Casa o Departamento,1.0,2.0,99.0,28-10-2016,67.0,España,Barcelona,04-01-2017,Expedia
Russafa,39.46095,-0.36997,Casa o Departamento,2.0,2.0,50.0,13-10-2020,89.0,España,Valencia,21-12-2020,Tripadvisor
Castell-platja d'aro,41.83226,3.07531,Casa o Departamento,1.0,3.0,428.0,,nan,España,Girona,30-09-2019,Kayak
Palma de mallorca,39.57089,2.63377,Habitación privada,1.0,1.0,40.0,07-05-2019,94.0,España,Mallorca,27-05-2019,Kayak
San diego,40.38568,-3.66974,Casa o Departamento,1.0,2.0,84.0,09-02-2020,96.0,España,Madrid,13-06-2020,Agoda
La dreta de l'eixample,41.39173048584154,2.172578886595028,Habitación privada,1.0,1.0,55.0,10-12-2017,96.0,España,Barcelona,17-01-2018,Airbnb
Jafre,42.07225323360346,3.0093081755974604,Casa o Departamento,3.0,3.0,195.0,01-09-2018,100.0,España,Girona,22-12-2018,Agoda
Embajadores,40.40781,-3.70249,Casa o Departamento,1.0,1.0,24.0,05-01-2019,73.0,España,Madrid,08-03-2019,Booking
Palacio,40.41257,-3.70872,Habitación privada,1.0,1.0,25.0,04-11-2019,92.0,España,Madrid,09-11-2019,Kayak
Santa margalida,39.76073361872364,3.1499269050846634,Casa o Departamento,4.0,4.0,160.0,,nan,España,Mallorca,20-11-2018,Kayak
Justicia,40.426159769584046,-3.700724893029723,Habitación privada,1.0,1.0,20.0,,nan,España,Madrid,14-08-2018,Airbnb
La nova esquerra de l'eixample,41.38352145695473,2.1537912788021454,Casa o Departamento,2.0,2.0,170.0,25-11-2018,95.0,España,Barcelona,10-12-2018,Homeaway
Sant lluís,39.85145,4.25638,Habitación privada,2.0,1.0,30.0,08-09-2019,95.0,España,Menorca,31-12-2019,Tripadvisor
Palafrugell,41.91977,3.20467,Casa o Departamento,2.0,2.0,111.0,23-06-2019,100.0,España,Girona,30-11-2019,Homeaway
Palafrugell,41.88949,3.18921,Casa o Departamento,1.0,2.0,285.0,05-07-2019,99.0,España,Girona,29-07-2019,Booking
Hostafrancs,41.37318043359263,2.1431573949578904,Casa o Departamento,1.0,2.0,123.0,,nan,España,Barcelona,06-08-2017,Expedia
El barri gòtic,41.38159,2.18147,Habitación privada,2.0,1.0,17.0,,nan,España,Barcelona,09-02-2021,Flipkey
Patraix,39.45889,-0.38945,Casa o Departamento,1.0,2.0,75.0,17-11-2019,95.0,España,Valencia,20-02-2021,Tripadvisor
La dreta de l'eixample,41.38961241689695,2.1659296218782926,Casa o Departamento,2.0,5.0,247.0,07-02-2017,95.0,España,Barcelona,09-02-2017,Agoda
El raval,41.38286145478578,2.169239370614835,Habitación privada,1.0,1.0,35.0,22-06-2017,88.0,España,Barcelona,06-07-2017,Booking
Lloret de mar,41.70186,2.84596,Casa o Departamento,1.0,2.0,130.0,,nan,España,Girona,28-11-2020,Booking
Centro,36.72278,-4.42573,Casa o Departamento,1.0,1.0,85.0,27-04-2019,98.0,España,Malaga,01-05-2019,Kayak
Palma de mallorca,39.56184,2.5974,Casa o Departamento,4.0,4.0,340.0,06-07-2018,93.0,España,Mallorca,27-06-2019,Booking
El viso,40.44061,-3.68365,Casa o Departamento,5.0,5.0,nan,16-02-2020,100.0,España,Madrid,17-03-2020,Airbnb
El fort pienc,41.39260278250806,2.178845973553262,Casa o Departamento,2.0,3.0,311.0,20-03-2018,94.0,España,Barcelona,14-05-2018,Expedia
Manacor,39.58767,3.22086,Casa o Departamento,3.0,3.0,194.0,28-09-2018,100.0,España,Mallorca,25-03-2019,Homeaway
Es mercadal,40.03978,4.12379,Casa o Departamento,5.0,5.0,220.0,,nan,España,Menorca,29-02-2020,Homeaway
Argüelles,40.42821,-3.71901,Habitación privada,2.0,1.0,18.0,,nan,España,Madrid,09-02-2021,Agoda
Ciutadella de menorca,40.00361,3.80914,Habitación privada,1.0,1.0,40.0,26-08-2018,96.0,España,Menorca,30-06-2019,Airbnb
Torroella de montgrí,42.05397,3.20227,Casa o Departamento,1.0,3.0,59.0,05-09-2019,88.0,España,Girona,30-10-2019,Agoda
Marratxí,39.63332,2.72621,Habitación privada,1.0,1.0,40.0,,nan,España,Mallorca,28-11-2019,Kayak
Vidreres,41.75816,2.83715,Casa o Departamento,4.0,8.0,128.0,,nan,España,Girona,19-02-2019,Airbnb
La sagrada família,41.40917342562626,2.178235846165406,Casa o Departamento,2.0,3.0,95.0,08-04-2018,95.0,España,Barcelona,12-04-2018,Booking
L'escala,42.11573,3.13685,Casa o Departamento,1.0,2.0,80.0,09-08-2020,86.0,España,Girona,31-01-2021,Homeaway
En corts,39.45545,-0.3692,Habitación privada,1.0,1.0,25.0,02-12-2019,100.0,España,Valencia,28-04-2020,Homeaway
El camp de l'arpa del clot,41.41046894926249,2.185951315341905,Habitación privada,1.0,1.0,30.0,23-12-2016,100.0,España,Barcelona,04-01-2017,Flipkey
Capdepera,39.67296,3.40699,Casa o Departamento,5.0,5.0,450.0,24-08-2019,100.0,España,Mallorca,31-08-2019,Tripadvisor
Calvià,39.50896,2.48204,Casa o Departamento,5.0,7.0,450.0,01-08-2019,100.0,España,Mallorca,29-01-2020,Expedia
El barri gòtic,41.38409,2.17409,Casa o Departamento,1.0,2.0,nan,,nan,España,Barcelona,16-03-2020,Airbnb
Palafrugell,41.92323,3.15603,Casa o Departamento,1.0,1.0,94.0,26-07-2020,91.0,España,Girona,31-12-2020,Flipkey
La nova esquerra de l'eixample,41.380225457537065,2.1554301217041787,Casa o Departamento,2.0,4.0,151.0,08-06-2018,90.0,España,Barcelona,09-06-2018,Homeaway
Recoletos,40.42139,-3.68572,Casa o Departamento,1.0,1.0,94.0,11-10-2020,96.0,España,Madrid,06-11-2020,Tripadvisor
Centro,36.72193,-4.42944,Habitación privada,1.0,1.0,35.0,04-07-2019,88.0,España,Malaga,29-02-2020,Homeaway
Sant gervasi - galvany,41.4001,2.13727,Casa o Departamento,1.0,3.0,100.0,,nan,España,Barcelona,11-05-2020,Agoda
Centro,36.72256,-4.42272,Casa o Departamento,2.0,3.0,233.0,21-07-2019,80.0,España,Malaga,30-06-2020,Airbnb
El barri gòtic,41.38106,2.18021,Casa o Departamento,2.0,4.0,200.0,03-11-2019,100.0,España,Barcelona,09-11-2019,Kayak
Ventas,40.43171425368544,-3.6501252786719296,Casa o Departamento,1.0,2.0,78.0,03-01-2018,100.0,España,Madrid,12-04-2018,Expedia
La vila de gràcia,41.40554800238513,2.156217798490824,Casa o Departamento,1.0,1.0,60.0,02-01-2017,60.0,España,Barcelona,07-05-2017,Airbnb
Sant andreu,41.42949,2.19179,Habitación privada,2.0,1.0,500.0,,nan,España,Barcelona,24-08-2020,Kayak
El poble sec,41.37417,2.14881,Casa o Departamento,2.0,3.0,66.0,12-03-2020,80.0,España,Barcelona,24-08-2020,Expedia
Provençals del poblenou,41.41554447309218,2.203527229742189,Habitación privada,1.0,1.0,25.0,30-06-2018,98.0,España,Barcelona,10-07-2018,Airbnb
Es mercadal,40.02271,4.17834,Casa o Departamento,2.0,2.0,55.0,31-07-2020,95.0,España,Menorca,31-01-2021,Homeaway
Marroquina,40.41175,-3.63659,Habitación privada,2.0,1.0,40.0,26-10-2019,92.0,España,Madrid,12-01-2021,Expedia
Carretera de cadiz,36.70372412352182,-4.442708728046562,Casa o Departamento,1.0,1.0,150.0,28-10-2017,89.0,España,Malaga,25-11-2017,Homeaway
Orcasur,40.368995926314,-3.701129513040196,Habitación privada,2.0,1.0,22.0,,nan,España,Madrid,11-09-2018,Tripadvisor
Inca,39.70573,2.93401,Casa o Departamento,1.0,3.0,108.0,02-01-2020,96.0,España,Mallorca,22-03-2020,Homeaway
Santa margalida,39.76166,3.16643,Casa o Departamento,1.0,1.0,55.0,,nan,España,Mallorca,24-04-2019,Flipkey
Universidad,40.42115,-3.70318,Habitación privada,2.0,1.0,30.0,08-03-2020,86.0,España,Madrid,17-04-2020,Tripadvisor
Felanitx,39.41742,3.25831,Casa o Departamento,2.0,3.0,350.0,09-08-2018,68.0,España,Mallorca,19-09-2020,Agoda
Masarac,42.34208,2.98861,Habitación privada,2.0,1.0,33.0,30-08-2018,94.0,España,Girona,29-02-2020,Tripadvisor
Petra,39.61356,3.10913,Casa o Departamento,3.0,5.0,60.0,26-11-2019,98.0,España,Mallorca,23-04-2020,Booking
El turó de la peira,41.43271,2.17058,Habitación privada,1.0,1.0,14.0,21-12-2019,100.0,España,Barcelona,09-02-2021,Kayak
Universidad,40.42425,-3.7038,Casa o Departamento,2.0,2.0,250.0,08-03-2020,100.0,España,Madrid,17-12-2020,Flipkey
Ciudad jardín,40.44931,-3.67424,Habitación privada,1.0,1.0,70.0,03-11-2019,97.0,España,Madrid,06-11-2020,Agoda
La barceloneta,41.37699,2.19121,Casa o Departamento,1.0,1.0,75.0,05-11-2018,95.0,España,Barcelona,17-09-2019,Expedia
Vidrà,42.14465,2.33124,Casa o Departamento,9.0,14.0,nan,08-12-2019,100.0,España,Girona,28-10-2020,Flipkey
Llançà,42.35818,3.16596,Casa o Departamento,1.0,2.0,190.0,,nan,España,Girona,30-11-2019,Agoda
Sant lluís,39.85145,4.25638,Habitación privada,2.0,2.0,22.0,06-09-2018,97.0,España,Menorca,31-03-2019,Homeaway
Pacífico,40.40574200046318,-3.677619375682563,Casa o Departamento,2.0,2.0,87.0,20-10-2018,100.0,España,Madrid,10-12-2018,Flipkey
"Sector sur, la palmera, reina mercedes",37.3581689703889,-5.984749402657818,Habitación privada,2.0,0.0,13.0,,nan,España,Sevilla,29-01-2019,Tripadvisor
Embajadores,40.40999,-3.70744,Casa o Departamento,2.0,2.0,102.0,26-12-2019,90.0,España,Madrid,10-01-2020,Homeaway
Sol,40.41827322249786,-3.705083435397911,Casa o Departamento,2.0,2.0,120.0,22-04-2018,96.0,España,Madrid,14-05-2018,Tripadvisor
Roses,42.29489,3.17916,Casa o Departamento,2.0,3.0,160.0,21-02-2019,80.0,España,Girona,30-10-2019,Expedia
Palma de mallorca,39.56202,2.62602,Habitación privada,1.0,1.0,25.0,04-10-2020,100.0,España,Mallorca,11-02-2021,Tripadvisor
Triana oeste,37.38327,-6.00941,Casa o Departamento,1.0,2.0,66.0,26-05-2019,80.0,España,Sevilla,29-06-2019,Tripadvisor
Felanitx,39.38178,3.23867,Casa o Departamento,1.0,1.0,41.0,19-09-2020,85.0,España,Mallorca,21-10-2020,Booking
El poble sec,41.3734912147337,2.1659973791350686,Habitación compartida,1.0,1.0,10.0,29-05-2017,95.0,España,Barcelona,05-06-2017,Airbnb
Mont-olivet,39.45648,-0.36513,Habitación privada,1.0,nan,28.0,,nan,España,Valencia,10-11-2020,Tripadvisor
En corts,39.45614,-0.37056,Habitación privada,1.0,1.0,24.0,29-08-2019,100.0,España,Valencia,01-09-2019,Flipkey
La barceloneta,41.38023,2.18953,Habitación privada,1.0,1.0,49.0,11-10-2019,87.0,España,Barcelona,16-10-2019,Flipkey
Santa eugènia,39.60506,2.86185,Casa o Departamento,5.0,7.0,186.0,12-10-2020,98.0,España,Mallorca,08-11-2020,Homeaway
El barri gòtic,41.37788582306339,2.176403874027069,Habitación privada,1.0,1.0,60.0,09-07-2017,98.0,España,Barcelona,07-02-2018,Airbnb
El poblenou,41.40415,2.20179,Habitación privada,2.0,1.0,100.0,,nan,España,Barcelona,16-03-2020,Kayak
El poble sec,41.37231856271514,2.1630089036812525,Casa o Departamento,1.0,2.0,30.0,30-10-2017,85.0,España,Barcelona,13-11-2017,Airbnb
Navata,42.22770254811548,2.869541654901264,Casa o Departamento,3.0,3.0,145.0,01-10-2018,90.0,España,Girona,22-12-2018,Flipkey
Pollença,39.89809237758911,3.0643931354477245,Casa o Departamento,2.0,2.0,71.0,,nan,España,Mallorca,15-03-2017,Homeaway
Capdepera,39.69575,3.45517,Casa o Departamento,3.0,3.0,220.0,,nan,España,Mallorca,28-09-2019,Tripadvisor
Palacio,40.40865714312242,-3.710750611368904,Casa o Departamento,1.0,0.0,80.0,,nan,España,Madrid,10-07-2018,Agoda
La dreta de l'eixample,41.39423,2.1619,Casa o Departamento,1.0,2.0,55.0,,nan,España,Barcelona,06-11-2020,Flipkey
Pals,42.0073,3.19439,Casa o Departamento,1.0,2.0,129.0,,nan,España,Girona,28-11-2020,Airbnb
El besòs i el maresme,41.41988,2.21107,Habitación compartida,1.0,1.0,8.0,05-03-2019,89.0,España,Barcelona,10-04-2019,Homeaway
Centro,36.73042,-4.42058,Casa o Departamento,1.0,2.0,46.0,14-04-2019,87.0,España,Malaga,01-05-2019,Tripadvisor
Sant feliu de guíxols,41.79318,3.03873,Casa o Departamento,2.0,2.0,94.0,19-08-2019,90.0,España,Girona,31-08-2019,Flipkey
Pueblo nuevo,40.43333213001546,-3.639314716536553,Casa o Departamento,1.0,1.0,74.0,25-11-2018,96.0,España,Madrid,14-01-2019,Flipkey
Begur,41.94563,3.19496,Casa o Departamento,2.0,2.0,149.0,,nan,España,Girona,30-11-2019,Airbnb
El raval,41.37604486532471,2.170136895953845,Casa o Departamento,6.0,6.0,315.0,,nan,España,Barcelona,17-01-2018,Airbnb
La florida,37.38632,-5.98194,Casa o Departamento,1.0,1.0,70.0,,nan,España,Sevilla,27-04-2019,Tripadvisor
Palafrugell,41.89189415117709,3.189207862120799,Casa o Departamento,2.0,3.0,65.0,,nan,España,Girona,20-10-2018,Expedia
"Encarnación, regina",37.3928,-5.99199,Casa o Departamento,1.0,2.0,45.0,28-08-2019,98.0,España,Sevilla,31-08-2019,Homeaway
Benimaclet,39.48787,-0.3602,Habitación privada,2.0,1.0,50.0,17-03-2019,100.0,España,Valencia,21-12-2020,Kayak
Triana casco antiguo,37.38036,-5.99886,Casa o Departamento,1.0,1.0,41.0,26-09-2020,95.0,España,Sevilla,29-10-2020,Airbnb
Guindalera,40.43696,-3.6687,Habitación privada,1.0,1.0,126.0,02-06-2019,78.0,España,Madrid,10-07-2019,Kayak
